,user.login
0,stephenmm
1,jrhemstad
2,andrewseidl
3,mrocklin
4,mjsamoht
5,yidong72
6,beckernick
7,quasiben
8,chinmaychandak
9,xhkong
10,ayushdg
11,jlowe
12,jangorecki
13,davidwendt
14,miguelusque
15,OlivierNV
16,rwlee
17,taureandyernv
18,kuhushukla
19,trevorsm7
20,daxiongshu
21,galipremsagar
22,richardulrich
23,lmeyerov
24,rnyak
25,razajafri
26,mlahir1
27,vivanov10
28,jdye64
29,brandon-b-miller
30,alecgunny
31,shwina
32,nasiha0
33,calebwin
34,VibhuJawa
35,Salonijain27
36,cwharris
37,karthikeyann
38,devavret
39,bryevdv
40,ShashaankV
41,rgsl888prabhu
42,aroraakshit
43,isVoid
44,paulhendricks
45,drabastomek
46,revans2
47,vuule
48,abellina
49,marlenezw
50,liuyangc1
51,sperlingxx
52,mk1102
53,codereport
54,ogreen
55,hlinsen
56,mythrocks
57,wmalpica
58,ttnghia
59,kidman99
60,randerzander
61,vyasr
62,magnatelee
63,usertoroot
64,Nicholas-7
65,robertmaynard
66,firestarman
67,MikeChenfu
68,shaneding
69,TravisHester
70,ChrisJar
71,pbruneau
72,nvdbaranec
73,charlesbluca
74,BassemKaroui
75,Kkrishnaa
76,Nyrio
77,aerdem4
78,Iroy30
79,esnvidia
80,wjxiz1992
81,krlng
82,mayankanand007
83,jakirkham
84,bdice
85,res-life
86,andygrove
87,rlratzel
88,guedes-joaofelipe
89,sageslayers
90,wbo4958
91,gerashegalov
92,KazukiOnodera
93,titericz
94,dominicshanshan
95,wence-
96,arpan-das-astrophysics
97,kkraus14
98,alextxu
99,dagardner-nv
100,honno
101,hyperbolic2346
102,AdamKorcz
103,GregoryKimball
104,trivialfis
105,HaoYang670
106,upsj
107,eriknw
108,parkerzf
109,dawilliams-nvidia
110,Ullar-Kask
111,mattf
112,rjzamora
113,sameerz
114,PointKernel
115,csadorf
116,infzo
117,sokol11
118,JacoCheung
119,lvxhnat
120,kijeungchoi
121,vaceslav
122,mroeschke
123,oliverholworthy
124,stucash
125,alexbarghi-nv
126,Rridley7
127,thomcom
128,FilippoSimini
129,divyegala
130,justkrismanohar
131,jarmak-nv
132,gucasbrg
133,paleolimbot
134,gaohao95
135,Ploverain
136,rohanpaul14855
137,etseidl
138,aocsa
139,shrshi
140,marcimarc1
141,lidavidm
142,weedge
143,kolfild26
144,rbavery
145,sapcode
146,henryzhangpku
147,tx2002
148,paulsbrookes
149,Vortexx2
150,loewenm
151,harrism
152,notwopr
153,jacobtomlinson
154,seberg
155,zeroshade
156,pvnick
157,amanlai
158,MarcoGorelli
159,sarahyurick
160,nurmanmus
161,gm3g11
162,raybellwaves
163,reinzler
164,pmixer
165,tgujar
166,er-eis
167,shriramch
168,AjayThorve
169,Rhett-Ying
170,NVnavkumar
171,mhaseeb123
172,a-hirota
173,BILL-SUN521
174,lithomas1
